#,,base:cevent_speech_anaphora-referent,,,,,cevent_eye_roi_child,,,,,,cevent_eye_roi_parent,,,,,
#,,,,,,,individual_prop,,individual_mean_dur,,individual_freq,,individual_prop,,individual_mean_dur,,individual_freq,
#,,,,,,,target,other,target,other,target,other,target,other,target,other,target,other
#subID,expID,onset,offset,category,trialsID,instanceID,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all
1206,12,144.99,146.15,12,1,14,1,0,1.1613,0,51.664,0,0.5294,0.22962,0.61482,0.26667,51.664,51.664
1206,12,152.09,153.95,18,1,15,1,0,1.854,0,32.363,0,0.63674,0,1.1805,0,32.363,0
1206,12,164.5,165.65,10,1,16,1,0,1.1474,0,52.294,0,1,0,1.1474,0,52.294,0
1206,12,193.84,194.9,7,1,17,1,0,1.0564,0,56.796,0,0.56347,0.40498,0.59525,0.42782,56.796,56.796
1206,12,193.84,194.9,7,1,18,1,0,1.0564,0,56.796,0,0.56347,0.40498,0.59525,0.42782,56.796,56.796
1206,12,196.6,197.36,7,1,19,1,0,0.76957,0,77.966,0,0.38749,0,0.2982,0,77.966,0
1206,12,198.84,200.02,7,1,20,1,0,1.1753,0,51.049,0,0.24869,0.25524,0.29229,0.3,51.049,51.049
1206,12,208.11,211.66,8,1,21,0.97237,0,3.4558,0,16.882,0,0.11255,0.74044,0.4,0.87718,16.882,50.647
1206,12,213.5,217.23,21,1,22,0.63411,0.20469,2.3601,0.38092,16.121,32.241,0.49977,0.2239,1.8601,0.27778,16.121,48.362
1206,12,281.46,284.61,17,1,23,1,0,3.1482,0,19.058,0,1,0,3.1482,0,19.058,0
1206,12,285.07,289.35,17,1,24,0.87544,0,1.8741,0,28.027,0,1,0,4.2816,0,14.013,0
1206,12,290.22,291.64,17,1,25,1,0,1.4202,0,42.247,0,1,0,1.4202,0,42.247,0
1206,12,292.22,293.9,17,1,26,1,0,1.6791,0,35.734,0,1,0,1.6791,0,35.734,0
1206,12,297.07,299.31,17,1,27,1,0,2.2387,0,26.801,0,1,0,2.2387,0,26.801,0
1206,12,310.71,311.62,14,1,28,0.9728,0,0.89156,0,65.467,0,0,1,0,0.91649,0,65.467
1206,12,312.09,313.62,14,1,29,0.62145,0.26977,0.95214,0.41333,39.161,39.161,0.42207,0.49091,0.64667,0.75214,39.161,39.161
1206,12,314.36,317.4,14,1,30,0.70152,0.24359,2.13,0.7396,19.761,19.761,0,1,0,3.0363,0,19.761
1206,12,314.36,317.4,17,1,31,0.24359,0.70152,0.7396,2.13,19.761,19.761,1,0,3.0363,0,19.761,0
1207,12,42.205,42.957,12,1,1,1,0,0.75161,0,79.829,0,0,0,0,0,0,0
1207,12,44.059,45.684,12,1,2,1,0,1.6249,0,36.925,0,0,0,0,0,0,0
1207,12,49.55,51.038,12,1,3,0,0.48508,0,0.36112,0,80.596,0,0,0,0,0,0
1207,12,51.826,52.928,12,1,4,0,1,0,1.1024,0,54.429,0,0,0,0,0,0
1207,12,53.529,55.162,12,1,5,0.34721,0.18067,0.56667,0.29486,36.763,36.763,0,0,0,0,0,0
1207,12,56.049,57.552,12,1,6,0,1,0,1.5032,0,39.914,0,0,0,0,0,0
1207,12,67.309,68.397,21,1,7,1,0,1.088,0,55.145,0,0,0,0,0,0,0
1207,12,125.37,126.24,19,1,8,0,0,0,0,0,0,0,0,0,0,0,0
1207,12,129.01,131.23,19,1,9,0.91065,0,2.0208,0,27.039,0,0,0,0,0,0,0
1207,12,145.01,145.53,24,1,10,1,0,0.52255,0,114.82,0,0,0,0,0,0,0
1207,12,147.16,147.7,24,1,11,1,0,0.53686,0,111.76,0,0,0,0,0,0,0
1207,12,150.95,153.1,24,1,12,0.5344,0,1.1476,0,27.94,0,0,0,0,0,0,0
1207,12,174.01,175.08,14,1,13,0,1,0,1.0666,0,56.255,0,0,0,0,0,0
1207,12,177.74,180.82,14,1,14,1,0,3.078,0,19.493,0,0,0,0,0,0,0
1207,12,182.69,183.7,14,1,15,0.29834,0.33026,0.30112,0.33333,59.447,59.447,0,0,0,0,0,0
1207,12,212.31,213.34,10,1,16,0.5088,0.17005,0.5281,0.17651,57.807,57.807,0,0,0,0,0,0
1207,12,217.31,217.75,10,1,17,0,1,0,0.43665,0,137.41,0,0,0,0,0,0
1207,12,251.88,254.7,20,1,18,0.85741,0,2.4243,0,21.22,0,0,0,0,0,0,0
1207,12,291.31,292.45,17,1,19,1,0,1.1382,0,52.717,0,0,0,0,0,0,0
1207,12,325.75,327.89,15,1,20,0,1,0,2.1403,0,28.033,0,0,0,0,0,0
1207,12,329.11,329.9,15,1,21,0,1,0,0.79456,0,75.514,0,0,0,0,0,0
1207,12,361.12,361.85,26,1,22,0,0,0,0,0,0,0,0,0,0,0,0
1207,12,363.62,364.6,26,1,23,0,0,0,0,0,0,0,0,0,0,0,0
1207,12,366.97,367.89,26,1,24,0,0,0,0,0,0,0,0,0,0,0,0
1207,12,368.98,371.23,26,1,25,0,0,0,0,0,0,0,0,0,0,0,0
1207,12,368.98,371.23,26,1,26,0,0,0,0,0,0,0,0,0,0,0,0
1207,12,380.06,380.94,7,1,27,0,0.27825,0,0.24499,0,68.146,0,0,0,0,0,0
1207,12,388.82,389.71,7,1,28,0,0.79834,0,0.71434,0,67.056,0,0,0,0,0,0
1207,12,411.45,412.9,3,1,29,0,1,0,1.4531,0,41.291,0,0,0,0,0,0
1207,12,414.4,416.01,3,1,30,0,1,0,1.6106,0,37.253,0,0,0,0,0,0
1207,12,425.73,426.16,18,1,31,0,0.36347,0,0.15611,0,139.7,0,0,0,0,0,0
1207,12,429.76,430.82,18,1,32,0,0.92813,0,0.98991,0,56.255,0,0,0,0,0,0
1207,12,433.08,434.57,18,1,33,1,0,1.4889,0,40.298,0,0,0,0,0,0,0
1207,12,436.8,437.66,18,1,34,0.81453,0,0.69967,0,69.85,0,0,0,0,0,0,0
1207,12,438.95,440.1,18,1,35,0,0.6694,0,0.38333,0,104.78,0,0,0,0,0,0
1207,12,444.9,445.45,18,1,36,0,1,0,0.55834,0,107.46,0,0,0,0,0,0
1207,12,450.92,452.03,18,1,37,0.069006,0,0.076563,0,54.077,0,0,0,0,0,0,0
1207,12,476.7,477.12,22,1,38,0,1,0,0.42233,0,142.07,0,0,0,0,0,0
1207,12,483.85,484.42,22,1,39,1,0,0.5655,0,106.1,0,0,0,0,0,0,0
1207,12,486.76,488.28,22,1,40,1,0,1.5175,0,39.538,0,0,0,0,0,0,0
1207,12,490.69,491.46,22,1,41,1,0,0.76593,0,78.337,0,0,0,0,0,0,0
1207,12,492.03,492.88,22,1,42,1,0,0.85182,0,70.437,0,0,0,0,0,0,0
1207,12,495.24,496.61,22,1,43,1,0,1.3672,0,43.885,0,0,0,0,0,0,0
1207,12,497.56,498.65,22,1,44,0.37465,0.47217,0.40763,0.51374,55.145,55.145,0,0,0,0,0,0
1207,12,508.12,508.75,23,1,45,0,0.22825,0,0.14215,0,96.345,0,0,0,0,0,0
1207,12,524.43,525.74,4,1,46,0,1,0,1.3099,0,45.803,0,0,0,0,0,0
1207,12,527.98,528.53,4,1,47,1,0,0.55118,0,108.86,0,0,0,0,0,0,0
1207,12,530.62,531.75,4,1,48,1,0,1.1238,0,53.389,0,0,0,0,0,0,0
1207,12,537.47,538.97,4,1,49,1,0,1.4961,0,40.105,0,0,0,0,0,0,0
1207,12,540.58,542.59,4,1,50,0.80552,0,1.6203,0,29.829,0,0,0,0,0,0,0
1207,12,545.2,546.01,23,1,51,0,1,0,0.80888,0,74.177,0,0,0,0,0,0
1207,12,547.64,548.12,23,1,52,1,0,0.4796,0,125.1,0,0,0,0,0,0,0
1207,12,550.36,551.06,23,1,53,1,0,0.69434,0,86.412,0,0,0,0,0,0,0
1207,12,558.29,559.21,23,1,54,0,1,0,0.92341,0,64.977,0,0,0,0,0,0
1207,12,560.77,561.62,23,1,55,0.099833,0.15036,0.084326,0.12701,71.034,71.034,0,0,0,0,0,0
1207,12,604.76,604.97,15,1,56,0,1,0,0.20661,0,290.41,0,0,0,0,0,0
1208,12,40.343,41.063,21,1,1,1,0,0.72055,0,83.27,0,1,0,0.72055,0,83.27,0
1208,12,49.344,49.856,21,1,2,0.8913,0,0.45607,0,117.26,0,1,0,0.51169,0,117.26,0
1208,12,50.827,51.778,21,1,3,0.81319,0,0.77276,0,63.139,0,0.57266,0.32211,0.54419,0.30609,63.139,63.139
1208,12,59.63,60.466,21,1,4,0.43793,0,0.36585,0,71.821,0,1,0,0.83542,0,71.821,0
1208,12,61.479,62.105,21,1,5,1,0,0.62656,0,95.761,0,0.51265,0.16815,0.32121,0.10536,95.761,95.761
1208,12,73.645,74.454,21,1,6,0.60397,0,0.4888,0,74.137,0,0.39803,0.39603,0.32213,0.16026,74.137,148.27
1208,12,96.921,98.31,7,1,7,0,0.89534,0,0.62176,0,86.401,0,0.91934,0,0.63843,0,86.401
1208,12,96.921,98.31,1,1,8,0,0.89534,0,0.62176,0,86.401,0.456,0.46334,0.63333,0.64352,43.2,43.2
1208,12,103.11,106.04,24,1,9,1,0,2.924,0,20.52,0,0.53733,0.23467,0.78556,0.34309,41.04,41.04
1208,12,134.44,135.57,15,1,10,1,0,1.133,0,52.955,0,0.58813,0.26478,0.33318,0.3,105.91,52.955
1208,12,161.52,166.85,20,1,11,1,0,5.3258,0,11.266,0,0.87878,0.083671,2.3401,0.22281,22.532,22.532
1208,12,208.06,209.45,20,1,12,1,0,1.3837,0,43.363,0,0,1,0,1.3837,0,43.363
1208,12,273.46,276.16,20,1,13,0.28346,0.54166,0.76667,0.48833,22.184,66.552,0,0.65492,0,0.59044,0,66.552
