subID,onset,offset,refID,cue,type,prop-target,prop-other,cat-1,cat-2,cat-3,cat-4,cat-5,cat-6,cat-7,cat-8,cat-9,cat-10,cat-11,cat-12,cat-13,cat-14,cat-15,cat-16,cat-17,cat-18,cat-19,cat-20,cat-21,cat-22,cat-23,cat-24,cat-25
1212,206.48,208.52,24,2,3,0,0.85287,0,0,0,0,0,0,0,0,0,0.45083,0,0,0,0.40204,0,0,0,0,0,0,0,0,0,0,0
1212,218.22,219.81,15,2,3,0.81289,0.13642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81289,0,0,0,0,0,0,0,0.13642,0,0
1212,220.67,221.21,2,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1212,234.91,235.63,17,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1212,237.05,238.35,17,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1212,241.78,242.7,17,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1212,244.18,246.44,17,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1212,250.34,251.02,17,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1212,257.24,258.34,17,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1212,259.96,261.97,8,1,3,0.13586,0.68253,0,0,0,0,0,0,0,0.13586,0,0,0,0,0,0,0,0,0.68253,0,0,0,0,0,0,0,0
1212,263.93,265.33,8,1,3,0.30919,0.4526,0,0,0,0,0,0,0,0.30919,0,0,0,0.4526,0,0,0,0,0,0,0,0,0,0,0,0,0
1212,281.19,285.36,1,2,3,0.71721,0.25886,0.71721,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25886,0,0,0,0,0,0,0,0,0,0
1212,281.19,285.36,1,1,3,0.71721,0.25886,0.71721,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25886,0,0,0,0,0,0,0,0,0,0
1212,281.19,285.36,8,1,3,0,0.97607,0.71721,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25886,0,0,0,0,0,0,0,0,0,0
1212,287.02,288.64,1,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1212,292.54,293.54,16,1,3,0,0.70033,0,0,0,0,0,0,0,0,0,0.70033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1212,295.24,295.78,16,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1212,297.86,298.72,16,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1212,315.19,316.63,6,2,3,0,0.48634,0.48634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1212,328.06,330.74,6,2,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1212,331.78,332.86,6,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1212,334.56,335.96,6,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1212,336.64,337.52,6,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1212,341.54,342.66,6,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1212,354.23,355.65,15,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1212,360.81,362.51,15,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1212,364.89,367.2,15,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1212,368.36,369.52,15,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
