subID,age,MCDI ProdTotal,MCDI ProdCountNoun,total num anaphora,percent one,percent split,percent pronoun,percent verbal,percent visual,overall accuracy,one accuracy,split accuracy,pronoun accuracy,verbal cue accuracy,visual cue accuracy
1209,16.2,76.0,36.0,8,0.0,0.0,1.0,0.25,0.75,0.375,0,0,0.375,0.5,0.3333333333333333
1230,17.7,127.0,68.0,59,0.06779661016949153,0.2711864406779661,0.6610169491525424,0.423728813559322,0.576271186440678,0.559322033898305,0.75,0.1875,0.6923076923076923,0.4,0.6764705882352942
1207,25.3,66.0,26.0,56,0.017857142857142856,0.0,0.9821428571428571,0.6071428571428571,0.39285714285714285,0.0,0.0,0,0.0,0.0,0.0
1216,17.8,156.0,80.0,33,0.0,0.12121212121212122,0.8787878787878788,0.45454545454545453,0.5454545454545454,0.6060606060606061,0,0.0,0.6896551724137931,0.5333333333333333,0.6666666666666666
1221,21.6,45.0,19.0,23,0.13043478260869565,0.043478260869565216,0.8260869565217391,0.6086956521739131,0.391304347826087,0.5652173913043478,0.3333333333333333,1.0,0.5789473684210527,0.5714285714285714,0.5555555555555556
1224,17.9,25.0,5.0,35,0.05714285714285714,0.02857142857142857,0.9142857142857143,0.7142857142857143,0.2857142857142857,0.6857142857142857,1.0,1.0,0.65625,0.76,0.5
1213,17.3,16.0,1.0,67,0.1044776119402985,0.19402985074626866,0.7014925373134329,0.6865671641791045,0.31343283582089554,0.5671641791044776,0.42857142857142855,0.38461538461538464,0.6382978723404256,0.5869565217391305,0.5238095238095238
1202,20.7,505.0,196.0,34,0.029411764705882353,0.11764705882352941,0.8529411764705882,0.6764705882352942,0.3235294117647059,0.5882352941176471,1.0,0.25,0.6206896551724138,0.5652173913043478,0.6363636363636364
1235,13.8,-,-,22,0.18181818181818182,0.0,0.8181818181818182,0.3181818181818182,0.6818181818181818,0.5454545454545454,0.75,0,0.5,0.42857142857142855,0.6
1229,16.3,36.0,9.0,40,0.0,0.0,1.0,0.7,0.3,0.75,0,0,0.75,0.7857142857142857,0.6666666666666666
1219,19.7,88.0,39.0,29,0.034482758620689655,0.0,0.9655172413793104,0.4827586206896552,0.5172413793103449,0.6551724137931034,1.0,0,0.6428571428571429,0.7142857142857143,0.6
1205,18.1,44.0,16.0,19,0.05263157894736842,0.0,0.9473684210526315,0.47368421052631576,0.5263157894736842,0.7368421052631579,1.0,0,0.7222222222222222,0.6666666666666666,0.8
1232,14.1,-,-,24,0.0,0.041666666666666664,0.9583333333333334,0.3333333333333333,0.625,0.3333333333333333,0,0.0,0.34782608695652173,0.25,0.4
1223,21.8,254.0,114.0,100,0.12,0.03,0.85,0.81,0.19,0.58,0.8333333333333334,0.3333333333333333,0.5529411764705883,0.5555555555555556,0.6842105263157895
1214,18.5,42.0,13.0,27,0.14814814814814814,0.0,0.8518518518518519,0.2222222222222222,0.7777777777777778,0.7777777777777778,1.0,0,0.7391304347826086,0.8333333333333334,0.7619047619047619
1208,15.2,-,-,34,0.08823529411764706,0.058823529411764705,0.8529411764705882,0.5294117647058824,0.47058823529411764,0.7352941176470589,0.6666666666666666,1.0,0.7241379310344828,0.7222222222222222,0.75
1211,24.2,295.0,127.0,68,0.0,0.0,1.0,0.7058823529411765,0.29411764705882354,0.7794117647058824,0,0,0.7794117647058824,0.7708333333333334,0.8
1226,18.4,306.0,114.0,119,0.058823529411764705,0.03361344537815126,0.907563025210084,0.7394957983193278,0.2605042016806723,0.6890756302521008,0.5714285714285714,0.25,0.7129629629629629,0.7045454545454546,0.6451612903225806
1237,13.0,-,-,13,0.07692307692307693,0.0,0.9230769230769231,0.3076923076923077,0.6923076923076923,0.7692307692307693,1.0,0,0.75,1.0,0.6666666666666666
